MovieID,SentScore
1,0.22
2,0.19
3,0.0
4,0.24
5,0.0
6,0.23
7,0.27
8,0.20
9,0.0
10,0.0
11,0.0
12,0.16
13,0.18
14,0.0
15,0.0
16,0.0
17,0.0
18,0.22
19,0.20
20,0.0
21,0.0
22,0.25
23,0.0
24,0.23
25,0.25
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.21
33,0.22
34,0.23
35,0.24
36,0.0
37,0.42
38,0.0
39,0.0
40,0.17
41,0.0
42,0.0
43,0.28
44,0.20
45,0.23
46,0.19
47,0.20
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.16
54,0.20
55,0.32
56,0.0
57,0.29
58,0.0
59,0.0
60,0.24
61,0.0
62,0.0
63,0.21
64,0.27
65,0.0
66,0.21
67,0.0
68,0.25
69,0.0
70,0.20
71,0.0
72,0.24
73,0.19
74,0.20
75,0.21
76,0.23
77,0.20
78,0.19
79,0.24
80,0.29
81,0.23
82,0.39
83,0.36
84,0.0
85,0.26
86,0.0
87,0.0
88,0.13
89,0.36
90,0.21
91,0.0
92,0.17
93,0.0
94,0.0
95,0.18
96,0.0
97,0.0
98,0.22
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.31
106,0.20
107,0.0
108,0.0
109,0.29
110,0.15
111,0.0
112,0.0
113,0.0
114,0.0
115,0.21
116,0.27
117,0.25
118,0.36
119,0.22
120,0.11
121,0.0
122,0.22
123,0.38
124,0.26
125,0.0
126,0.0
127,0.23
128,0.38
129,0.0
130,0.0
131,0.21
132,0.0
133,0.0
134,0.21
135,0.21
136,0.24
137,0.26
138,0.23
139,0.30
140,0.0
141,0.0
142,0.20
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.20
150,0.21
151,0.17
152,0.31
153,0.0
154,0.0
155,0.19
156,0.35
157,0.26
158,0.10
159,0.0
160,0.14
161,0.18
162,0.0
163,0.20
164,0.10
165,0.0
166,0.21
167,0.25
168,0.22
169,0.0
170,0.0
171,0.15
172,0.0
173,0.25
174,0.0
175,0.23
176,0.0
177,0.21
178,0.22
179,0.0
180,0.0
181,0.0
182,0.18
183,0.09
184,0.0
185,0.0
186,0.25
187,0.19
188,0.0
189,0.34
190,0.0
191,0.23
192,0.0
193,0.22
194,0.24
195,0.23
196,0.27
197,0.0
198,0.24
199,0.0
200,0.35
201,0.23
202,0.0
203,0.35
204,0.0
205,0.0
206,0.0
207,0.0
208,0.21
209,0.0
210,0.0
211,0.17
212,0.0
213,0.0
214,0.0
215,0.19
216,0.25
217,0.0
218,0.0
219,0.0
220,0.26
221,0.15
222,0.31
223,0.0
224,0.07
225,0.0
226,0.0
227,0.30
228,0.22
229,0.41
230,0.0
231,0.0
232,0.0
233,0.0
234,0.16
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.31
241,0.21
242,0.19
243,0.19
244,0.0
245,0.24
246,0.26
247,0.0
248,0.0
249,0.0
250,0.0
251,0.26
252,0.0
253,0.24
254,0.22
255,0.30
256,0.34
257,0.21
258,0.0
259,0.0
260,0.0
261,0.27
262,0.18
263,0.0
264,0.40
265,0.24
266,0.24
267,0.0
268,0.22
269,0.22
270,0.30
271,0.31
272,0.0
273,0.24
274,0.0
275,0.30
276,0.0
277,0.27
278,0.0
279,0.0
280,0.21
281,0.0
282,0.0
283,0.0
284,0.23
285,0.0
286,0.28
287,0.0
288,0.0
289,0.22
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.25
296,0.0
297,0.23
298,0.0
299,0.31
300,0.20
301,0.24
302,0.0
303,0.24
304,0.0
305,0.0
306,0.0
307,0.16
308,0.28
309,0.32
310,0.0
311,0.28
312,0.28
313,0.26
314,0.0
315,0.25
316,0.17
317,0.0
318,0.0
319,0.30
320,0.23
321,0.0
322,0.31
323,0.0
324,0.17
325,0.0
326,0.24
327,0.20
328,0.0
329,0.0
330,0.29
331,0.25
332,0.27
333,0.0
334,0.25
335,0.0
336,0.24
337,0.21
338,0.22
339,0.0
340,0.21
341,0.0
342,0.22
343,0.27
344,0.0
345,0.34
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.21
352,0.32
353,0.34
354,0.36
355,0.0
356,0.21
357,0.0
358,0.0
359,0.0
360,0.24
361,0.22
362,0.35
363,0.0
364,0.0
365,0.21
366,0.0
367,0.0
368,0.38
369,0.17
370,0.0
371,0.0
372,0.27
373,0.0
374,0.23
375,0.22
376,0.21
377,0.11
378,0.15
379,0.21
380,0.0
381,0.21
382,0.17
383,0.0
384,0.41
385,0.0
386,0.20
387,0.0
388,0.19
389,0.15
390,0.0
391,0.0
392,0.24
393,0.16
394,0.23
395,0.0
396,0.37
397,0.41
398,0.0
399,0.0
400,0.28
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.12
407,0.28
408,0.0
409,0.23
410,0.16
411,0.26
412,0.0
413,0.0
414,0.0
415,0.0
416,0.12
417,0.21
418,0.19
419,0.0
420,0.0
421,0.25
422,0.0
423,0.0
424,0.42
425,0.19
426,0.25
427,0.16
428,0.24
429,0.54
430,0.12
431,0.17
432,0.20
433,0.25
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.22
440,0.20
441,0.0
442,0.20
443,0.19
444,0.22
445,0.25
446,0.0
447,0.0
448,0.0
449,0.0
450,0.20
451,0.26
452,0.23
453,0.25
454,0.23
455,0.20
456,0.15
457,0.0
458,0.0
459,0.0
460,0.0
461,0.20
462,0.21
463,0.21
464,0.23
465,0.13
466,0.0
467,0.27
468,0.24
469,0.21
470,0.16
471,0.27
472,0.27
473,0.21
474,0.21
475,0.39
476,0.0
477,0.25
478,0.27
479,0.26
480,0.22
481,0.0
482,0.20
483,0.21
484,0.19
485,0.17
486,0.0
487,0.0
488,0.28
489,0.20
490,0.32
491,0.0
492,0.27
493,0.18
494,0.0
495,0.28
496,0.28
497,0.0
498,0.0
499,0.16
500,0.26
501,0.0
502,0.30
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.21
509,0.21
510,0.23
511,0.0
512,0.0
513,0.21
514,0.25
515,0.16
516,0.0
