id,vc,lc,dc,fc,cc
1,128238,170,7,0,7
2,155561,135,14,0,74
3,2532,7,2,0,1
4,6827,9,1,0,0
5,330807,374,16,0,121
6,145729,227,14,0,30
7,104105,239,16,0,46
8,688784,673,52,0,202
9,67426,90,3,0,14
10,24277,66,3,0,6
11,3570,5,1,0,0
12,121998,75,5,0,6
13,28129,73,8,0,11
14,12717,49,6,0,18
15,8322,45,1,0,0
16,250904,599,22,0,95
17,155195,168,21,0,34
18,7890,20,2,0,0
19,7176,10,1,0,2
20,29170,26,1,0,7
21,46379,84,8,0,5
22,22966,49,1,0,0
23,220033,180,13,0,101
24,12407,17,1,0,1
25,3008,12,0,0,1
26,5530,24,1,0,0
27,10953,27,2,0,1
28,1900,14,0,0,3
29,15397,79,4,0,6
30,197519,181,27,0,63
31,149818,181,15,0,37
32,10325,11,3,0,0
33,7864,42,0,0,2
34,8033,16,2,0,3
35,34802,41,5,0,4
36,61376,120,7,0,2
37,85899,97,4,0,21
38,33635,73,5,0,6
39,30231,85,4,0,2
40,470026,914,30,0,69
41,3592,13,0,0,2
42,1907,16,0,0,0
43,247063,361,21,0,52
44,166620,616,19,0,114
45,61798,59,9,0,4
46,25061,37,0,0,23
47,58330,140,7,0,15
48,32369,102,7,0,36
49,11243,29,6,0,3
50,2506,6,0,0,1
51,36639,45,1,0,6
52,136999,250,46,0,14
53,23046,44,2,0,2
54,5430,19,0,0,8
55,9085,2,1,0,1
56,2258,6,0,0,0
57,17188,436,1,0,40
58,32191,30,5,0,6
59,19710,119,7,0,21
60,2362,4,3,0,0
61,2769,14,0,0,3
62,39502,62,4,0,7
63,4206,9,3,0,0
64,110929,174,18,0,4
65,69054,121,10,0,0
66,52594,146,3,0,13
67,93968,144,13,0,18
68,49953,85,7,0,16
69,432729,674,72,0,30
70,99357,141,28,0,9
71,118016,214,8,0,77
72,231433,161,15,0,53
73,24246,47,4,0,6
74,12251,48,0,0,3
75,776778,1571,107,0,103
76,5073,24,0,0,0
77,306373,634,27,0,139
78,5204,15,1,0,2
79,2609,13,0,0,1
80,749187,971,45,0,43
81,13966,59,2,0,2
82,190393,250,6,0,25
83,3543,17,0,0,7
84,136012,327,16,0,47
85,46117,244,0,0,3
86,64087,140,7,0,6
87,2105,6,0,0,1
88,8642,19,1,0,6
89,40761,93,13,0,44
90,127034,234,20,0,24
91,27073,46,2,0,3
92,51607,55,6,0,7
93,48506,76,13,0,1
94,470129,92,20,0,22
95,141274,66,9,0,38
96,181534,767,19,0,9
97,11326,22,1,0,0
98,19236,176,2,0,16
99,18338,29,2,0,10
100,64929,59,7,0,12
101,117098,136,10,0,48
102,86103,70,3,0,21
103,3745,11,0,0,2
104,17885,19,0,0,3
105,124804,325,25,0,53
106,24269,84,2,0,6
107,54485,249,5,0,20
108,12269,94,2,0,8
109,26290,32,7,0,7
110,35559,17,8,0,0
111,36788,182,8,0,16
112,118743,95,13,0,8
113,143369,487,23,0,11
114,36210,35,8,0,7
115,109972,519,12,0,23
116,4940,23,0,0,0
117,1747,4,0,0,0
118,6261,16,0,0,0
119,351921,635,48,0,84
120,30872,16,0,0,3
121,73689,47,6,0,8
122,56114,141,16,0,16
123,3780,47,0,0,2
124,101115,164,10,0,7
125,90071,112,10,0,18
126,5373,22,1,0,1
127,71769,111,3,0,34
128,5505,15,1,0,1
129,562081,684,30,0,183
130,15752,74,2,0,8
131,20245,29,3,0,1
132,24775,95,5,0,16
133,11767,27,1,0,0
134,87037,118,4,0,21
135,21685,60,4,0,4
136,3515,12,0,0,0
137,37764,43,2,0,1
138,147322,145,9,0,16
139,27880,47,7,0,7
140,258521,559,32,0,48
141,62848,131,8,0,19
142,85266,124,9,0,17
143,599678,583,66,0,111
144,2616,14,1,0,0
145,180813,167,24,0,25
146,177795,253,12,0,63
147,3478,6,0,0,1
148,12877,56,3,0,7
149,46877,183,11,0,32
150,14750,237,1,0,11
151,14257,23,3,0,4
152,1101,13,1,0,0
153,4396,32,1,0,3
154,4252,13,2,0,0
155,5677,34,4,1,4
156,3146,10,0,0,3
157,37656,88,4,0,11
158,517267,593,36,0,115
159,9238,64,4,0,4
160,27253,38,2,0,2
161,382938,751,28,0,152
162,410620,492,48,0,56
163,1621,1,0,0,8
164,137743,384,29,0,40
165,24095,58,4,0,4
166,62912,55,2,0,13
167,312358,249,22,0,65
168,25311,63,2,0,37
169,6096,7,2,0,1
170,411786,142,27,0,5
171,10138,15,0,0,0
172,71117,128,6,0,8
173,9887,19,0,0,5
174,14410,17,1,0,3
175,276714,489,23,0,113
176,5832,8,0,0,0
177,82815,57,7,0,7
178,81734,269,15,0,42
179,82477,235,6,0,12
180,32681,53,3,0,10
181,64699,44,5,0,5
182,39443,36,4,0,2
183,426318,81,38,0,6
184,67374,430,13,0,9
185,18456,33,5,0,0
186,12571,16,0,0,4
187,183656,158,14,0,36
188,12248,17,2,0,0
189,15205,19,1,0,1
190,132245,157,28,0,27
191,4414,10,0,0,0
192,34256,74,6,0,1
193,2858,8,2,0,4
194,62278,74,10,0,25
195,641243,289,61,0,304
196,4830,18,2,0,3
197,14549,22,2,0,3
198,110406,215,40,0,110
199,15921,33,2,0,5
200,185868,261,44,0,45
201,10901,8,0,0,0
202,42945,102,7,0,26
203,9522,10,1,0,0
204,4996,39,1,0,7
205,12313,35,0,0,5
206,18186,45,1,0,2
207,8237,32,0,0,1
208,16128,41,2,0,2
209,62287,49,3,0,9
